definition,word,author,tags,up,down,date
A very rare fictional concept used by some mystical factions to assign a day where the members of said factions are not to actually meet with one another in hopes of improving individual productivity.,no meeting day,baconaid,"[u'#fictional', u'#farse', u'#made-up', u'#smoking crack', u'#puff-puff pass']",4002,5005,"January 17, 2013"
A phrase to tell people youre high without actually saying it.,got my contacts in,manwithspecialeyes,"[u'#high', u'#weed', u'#blazed', u'#zooted', u'#marijuana']",6718,5325,"October 04, 2013"
Waking up after a night of drinking nothing but Vodka.,Russian Morning,Iatehisliverwithsomefavabeans,"[u'#russian', u'#vodka', u'#drunk', u'#hangover', u'#alcohol']",5829,5711,"August 01, 2013"
"N. Love interest or committed companion/partner. Abbreviation for ""Significant Other""",Sigother,brianfest,"[u'#partner', u'#spouse', u'#love interest', u'#significant other', u'#common law']",5033,7052,"July 18, 2009"
Blasting such a disgusting rotten shit smelling fart that it cases people to believe there is a sewer leak in the area.,Sewage Fart,Creeping Death Corpse,"[u'#blasting farts', u'#toasted treasures', u'#ass gobblins', u'#intestinal distress', u'#rotting eggs', u'#corpse aroma']",7406,6886,"August 05, 2013"
Ruling class of wealthy spoiled children that grew old but never grew up.,Plutobrat,Wisdom Seeker,"[u'#plutocrats', u'#plutoprats', u'#aristocrats', u'#aristobrats', u'#prats']",5528,6820,"March 16, 2013"
When you put your troubles at the feet of Almighty Google and find yourself a miracle.,Praise Google Christ!,MDub75,"[u'#praise', u'#google', u'#christ', u'#troubles', u'#miracle', u'#answer', u'#jesus', u'#religion', u'#computer']",5915,7087,"September 11, 2013"
"1. camouflage consisting of red, green, and white.2. Wearing a hodgepodge of Christmas colors in an unfashionable manor.",christmas fatigues,DRFNM,"[u'#christmas', u'#christmas chic', u'#hodgepodge', u'#camouflage', u'#christmas camo']",3331,5320,"November 05, 2013"
"The equivalent of a a facepalm (used out of disgust/defeat at having to entertain the musings of a moron), specifically used when dealing with a religious fundamentalist gomer, who reflexively recites hypocritical psychotic monkey garbage in the absence of any rational thought.",facepsalm,craftywolf,"[u'#gomer', u'#zealot', u'#fundamentalist', u'#moron', u'#hypocrite']",3666,6388,"April 01, 2013"
To ogle or Eye fuck a stranger during the Christmas season.,Eggnogling,Heavysemi,"[u'#eggnogled', u'#eggnogle', u'#christmas', u'#eggnog ogling', u'#eggnogler']",5035,4794,"November 04, 2013"
"A household that is run by a pet. Specifically a dog. What the dog wants, it gets, and when it wants it. Typically the owners do not see the scenario at all and comment on their ""wonderful pet"". Outsiders and friends though can see the caos and true pecking order.",Canine whipped,MtIronWalker,"[u'#dog', u'#pet', u'#weak owner', u'#feeble', u'#whipped']",3457,3718,"September 18, 2013"
When you hold in a poop at the dinner table so long that you start to sweat.,Dinner Sweats,DrDinnerSweat,"[u'#dinner', u'#sweat', u'#poop', u'#holding in', u'#dookey']",5478,4600,"March 06, 2013"
"An exhortation to be calm and take things in stride - akin to ""get a grip"" or ""chill"".",shit no bricks,dexter sinister,"[u'#chill out', u'#be calm', u'#get a grip', u'#fear not', u'#have confidence']",4640,5494,"November 27, 2013"
"A fetish involving a desire to engage in sexual activity with man made constructions. These may include, buildings, houses, towers and bridges.",Constructophilia,Bridgelover69,"[u'#bridge', u'#fetish', u'#sex', u'#house', u'#building']",3881,5338,"July 07, 2013"
"The anger occurring after someone accidentally wakes you up during, or on the precipice of a nap.",Sleepy Bear Syndrome,Mranonymous,"[u'#bear', u'#sleepy', u'#nap', u'#bed', u'#wake up', u'#wake', u'#up', u'#wrath']",6121,4326,"June 30, 2013"
The act of repeatedly leaning back on a recliner and leaning up again.,Recliner Sit-Ups,Atheistzilla,"[u'#recliner', u'#situp', u'#furniture', u'#exercise', u'#lazy ass']",4366,4506,"June 29, 2013"
"Someone who you know personally, and by the power of facebook turns into this magical philosopher, problem solver, visionary speaker and just a general complainer of life who doesn't know shit from clay and you know for a fact they are the stupidest dweeb ever!",facebook shithead,The_Def_Master,"[u'#fucking compalainer', u'#facebook fucker', u'#shithead', u'#annoying people', u'#whatever']",5571,4409,"December 03, 2013"
What you become if someone walks close behind you to avoid getting hassled by charity collectors in the street.,Human charity shield,Swedge,"[u'#people', u'#donation', u'#defence', u'#dodge', u'#oxfam', u'#students']",4671,4260,"June 03, 2013"
to admire someone for their fatherly qualities; to love someone as a father figure,dadmire,Dadmirer123,"[u'#dad', u'#brad', u'#admire', u'#platonic', u'#love']",4404,4952,"October 29, 2013"
"When a girl (or woman that thinks she is still a girl) wears booty shorts where both cheeks are hanging out. This is is not to be confused with well known phrase ""two sheets to the wind"" signifiying that a person is drunk.",Two cheeks to the wind,Deepthoughts,"[u'#cheeks', u'#wind', u'#lohan', u'#age appropriate', u'#booty']",4248,4892,"July 01, 2013"
"A syndrome, usually diagnosed in single people who are subscribed to any online dating service, characterized by a persistent pattern of impulsiveness, a short attention span, and often hyperactivity, and interfering especially with ever maintaining a long and lasting relationship.",attention dating deficit disorder,timbre,"[u'#dating', u'#serial dater', u'#online dating', u'#dateoholic', u'#date', u'#dating frenzy']",2536,3782,"December 12, 2013"
"Sin City, Nevada, where people go in the hopes of winning it big, but usually end up just losing their shirts .",Loss Vegas,QuacksO,"[u'#sink city', u'#money pit', u'#rat hole', u'#money madness', u'#bankruptcy heaven']",4419,4742,"December 09, 2013"
Dancefloor banking is where drunken online banking is done to release money for the night. Always regretted in the morning.,dancefloor banking,Jose Skofieldo,"[u'#dancefloor', u'#banking', u'#drunk', u'#night out', u'#music']",3144,4034,"December 08, 2013"
"1) Overusing exclamation points in a vain and failing attempt to make your writing sound more exciting. Trying to put more ""bang"" in your prose, but looking instead like you have exclamation point diarrhea. 2) Obsessively talking about sex, or ""banging."" An oral disorder usually found in those who aren't actually having sex.",bangorrhea,Dildorgasm,"[u'#sharies', u'#tasties', u'#sother', u'#sex', u'#fuck', u'#screw', u'#intercourse', u'#shag', u'#hump', u'#bone', u'#hit', u'#hot', u'#tap', u'#gang', u'#nail', u'#sexy', u'#penis', u'#pussy', u'#cock', u'#boom', u'#slam', u'#slut', u'#finger', u'#do', u'#bang', u'#banging', u'#smash', u'#whore', u'#vagina', u'#pork', u'#make love', u'#cum', u'#ass', u'#dick', u'#shit', u'#pound', u'#love', u'#fucking', u'#horny', u'#bitch', u'#banged', u'#head', u'#anal', u'#sexual intercourse', u'#beat', u'#rape', u'#girl', u'#boink', u'#big', u'#rail', u'#banger', u'#ho', u'#fight', u'#chick']",2811,3823,"March 04, 2009"
"to be down with your husband/wife no matter what, through it all the good and the bad.",ride or die,Fatima,[],8396,5474,"April 01, 2004"
When someone walks in front of you getting to their seats at a sports event and they choose to go facing you. If you are still sitting down then it will be their crotch to your face. This is considered poor practice and should be replaced by their backside in your face.,crotch-first,rollaricedan,"[u'#feetfirst', u'#crotchfirst', u'#head first', u'#crotch', u'#backside walking']",4138,5046,"December 06, 2013"
when your dog hears something and its ears go up and get all stiff,ear boner,thelordtoe,"[u'#ear', u'#boner', u'#dog', u'#ears', u'#sound']",6658,5404,"August 31, 2011"
"An Alzheimer's Purchase is when you buy something online that takes so long to be delivered, you forgot you ordered it in the first place.",Alzheimer's Purchase,AluMiNuM7777,"[u""#alzheimer's"", u'#purchase', u'#alzheimer', u'#shopping', u'#online', u'#aluminum7777']",5459,5327,"December 03, 2013"
"Walking directly behind someone who is pushing through a crowd, to avoid having to push through the crowd yourself. Only works if you stay in the empty area directly behind the person in front of you. Usually done behind someone tall or buff.",crowd slipstreaming,LotteHaichu,"[u'#crowd', u'#slipstream', u'#tall', u'#people', u'#large']",5233,5106,"December 02, 2013"
Cyber-sex. Online roleplaying mimicking sexual intercourse.,cyber,Gumba Gumba,[],5094,5271,"February 22, 2004"
A group of people surround a lone person on the dancefloor and when appropriate begin twerking aggressively on the person in the middle. The tighter the circle during the twerk the better. It is typically performed during r & b or rap music.,Circle twerk,Ilovetofeeldirty,"[u'#twerk', u'#jerk', u'#circle jerk', u'#twerking', u'#tweak']",4902,6011,"November 30, 2013"
"Long winded, boring, nauseating, uninteresting description of an event or the story of someone's life.",story vomit,aussieankie,"[u'#nauseating', u'#boring', u'#uninteresting', u'#long winded', u'#story']",6338,6098,"November 25, 2013"
"Bastardization of 'Thnx,' which is a bastardization of 'Thanx,' which is a bastardization of 'Thanks,' which is a bastardization of 'Thank You.'",thx,bastardized bottomburp,[],9057,7058,"March 23, 2003"
"An oral condition that is the undesired result of consuming too many sodium injected foods, such as ham. The main symptom of ham tongue is a perpetual and unquenchable thirst accompanied by a lack of saliva.",ham tongue,Gwenner,"[u'#cotton mouth', u'#dry mouth', u'#salivating', u'#drooling', u'#ham tounge', u'#salty']",4517,6770,"November 25, 2013"
"A common cause of stress, often leading to paralysis and even death resulting from an overloaded email inbox.",inboxia,toddsc,"[u'#paralysis', u'#illness', u'#email', u'#inbox', u'#overload']",5682,6189,"February 23, 2011"
To bury someones face in a pile of canine of love and affection.,puppy bukakke,TheyArrasid,"[u'#present', u'#puppy', u'#puppy bukake', u'#gift', u'#bukakke']",5280,7050,"November 22, 2013"
"When a manager says ""we"" and means ""you""",managerial we,Randomdude11,"[u'#manager', u'#we', u'#you', u'#workingfortheman', u'#boss']",6635,5779,"November 22, 2013"
"When you try to type ""Go fuck yourself"", but you auto correct turned it to that. Also can happen if you have large thumbs, and you type ""go fuck yourself""",go duck yourself,NotADuck,"[u'#go', u'#fuck', u'#your', u'#self', u'#duck', u'#grammar']",6745,5995,"November 20, 2013"
The disorder in which a person experiences excessive anger towards those who smack their food or breathe too heavily.,Misophonia,Robert Down-On-Me Jr.,"[u'#food', u'#smacking', u'#misofone', u'#misophona', u'#mizophone']",5683,6112,"July 09, 2012"
Sieze the night. The oposite of carpe diem. Get work done durring the night and sleep all day!,carpe noctem,ADXin,[],6394,5837,"May 23, 2004"
Laughing hella hard,lhh,morgwils97,"[u'#laugh', u'#hella', u'#hard', u'#lhh', u'#lol']",4725,6575,"July 09, 2013"
Being so content with your fantasy football roster that you feel the urge to masturbate to it.,Rosterbating,jakedasnake HHHHHHHHHHHHh,"[u'#muslim brownie', u'#nutty professor', u'#legsma', u'#fallopian fever', u'#blow motion', u'#weba', u'#ltd']",4497,5053,"September 16, 2010"
"It's when you see a group of girls or guys and they look hot, but when you see each person individually they are NOT, that an effect, when they are in groups they look hot.",Cheerleader effect,Bryan MG,"[u'#cheerleader', u'#effect', u'#group', u'#hot', u'#individually']",6907,5427,"December 13, 2008"
Running fully clothed through a nudist colony.,Reverse Streaking,Ipoopedinyourslippers,"[u'#streaking', u'#nudist', u'#reverse', u'#naked', u'#nude']",6784,4938,"November 13, 2013"
"Also known as 'laptop leg', this is when your foot and/or leg goes numb because of the way you are standing/sitting. Due to your avid interest in you device, however, you don't notice until it becomes painful.",phone foot,koolstas,"[u'#numb feet', u'#hyper-concentration', u'#pinched nerve', u'#fone-foot', u'#laptop legs']",3986,5460,"November 09, 2013"
"When you get a larger beer/drink than what you need, or perhaps even want. The bigger the drink, the cooler the guy/girl... That's the mentality that leads to overcupensating.",Overcupensating,Mycatlego,"[u'#beer', u'#drinking', u'#overcupensating', u'#booze', u'#macho moron', u'#28 ounces']",4107,5143,"November 10, 2013"
"N. The markings on the body from sleeping for an extended period of time, caused by blankets, clothing, or any other thing one would sleep on. Commonly found on the chest, face, and arms.",sleep tattoos,m_kobi,"[u'#impressions', u'#markings', u'#sleeping', u'#sleep', u'#red marks']",4663,4246,"November 10, 2013"
"noun; A fit of violent anger by an office worker due to nonperformance by equipment. Normally directed at printers, computers, phones, etc. Similar to: road rage.",office rage,koshka,"[u'#office', u'#rage', u'#anger', u'#printer', u'#computer']",4726,4185,"November 06, 2013"
"The process of repeatedly farting into a confined space or area, or on an item so as to infuse the space or item with the pure essence of the fart musk.",fart reduction,Poop Giggle,"[u'#fartpalm', u'#tootfuze', u'#fartbomb', u'#fart', u'#toot']",4469,5223,"November 05, 2013"
The act of trimming ones friends lists in various social media sites.,Friendscaping,Ershatz,"[u'#friends lists', u'#unfriend', u'#friend whore', u'#friendlist tidy', u'#friendlock']",5332,4412,"November 05, 2013"
"A special occasion recognized by the Google homepage. Google traditionally commemorates the event with some kind of doodle. Sometimes its an actual holiday like Valentines day, Chinese New Year, or Independence day for another country. Sometimes its an obscure reference to someone who died over a century ago.",Google Holiday,AwesomeMaxx,"[u'#google doodles', u'#google holiday war', u'#instant tradition', u'#special occassion', u'#google', u'#doodles', u'#logo', u'#cartoon', u'#independence', u'#holiday', u'#valentines', u'#new year', u'#celebrity']",3950,4080,"November 05, 2013"
People who smoke crack with their favourite politician.,crackstituents,Crackstituent1,"[u'#crack', u'#crackstituent', u'#crackstituents', u'#constituent', u'#constituents']",4870,4555,"November 05, 2013"
Grab a drink or smoke a cigarette,bend an elbow,Sassie ladie,"[u'#drink', u'#smoke', u'#wait', u'#time', u'#get away']",4765,5022,"November 03, 2013"
"A thought that you believe to be true. The ""facts"" are completely fabricated and are supported by zero empirical evidence whatsoever. The only qualifier is that you believe the fact to be true.",brain fact,choadeville,"[u'#bullshit', u'#lies', u'#factual statements', u'#fiction', u'#brian fact']",3793,4826,"November 03, 2013"
"A Facebook friend that gives up their 'likes' almost indiscriminately. Typically they will 'like' almost any post you make, regardless of how mundane or 'unlikeworthy' it actually was.",easy like,wxflurry,"[u'#facebook', u'#like', u'#comment', u'#status', u'#facebook friend', u'#facebook like', u'#facebook whore', u'#unlike', u'#likeworthy', u'#unlikeworthy']",9582,10825,"October 29, 2013"
"The day on which you give in to your computer's non-stop reminders and install lots of updates at once. No work may be done on the computer on this day, hence it being a ""Sabbath.""",Download Sabbath,CheezyTots141,"[u'#computer', u'#download', u'#system', u'#work', u'#laziness']",4272,4257,"October 29, 2013"
The game I watch during a commercial break of the game I'm really watching.,commercial game,pnuelmoto,"[u'#commercial', u'#game', u'#flip channels', u'#break', u'#halftime', u'#time outs', u'#the other game']",4648,4326,"October 28, 2013"
When something in nature looks like a dick.,nature's boner,howwonderfoo,"[u'#nature', u'#boner', u'#hill', u'#looks', u'#like', u'#dick']",5995,5427,"October 28, 2013"
Electronics replaced after water damage by begging the company to do it under warranty.,peefurbished,Norm_bone,"[u'#refurbished', u'#toilet phone', u'#used', u'#warranty', u'#water damage']",3873,5939,"October 27, 2013"
"v. int. The act of pushing one's face in between two ample breasts, and staying motionless/silent, like floating calmly on two nice soft billowy clouds. Opposite of motorboat.",motorfloating,culchan,"[u'#motorboat', u'#face plant into boobies', u'#boobies', u'#tithes', u'#breasts']",4203,4872,"October 28, 2013"
"A type of bad pun especially prevalent within the poor writing of low budget or basement project porn videos. These are especially noteworthy when the porno, the pun, or both are in reference to a popular slang or media element within the generation of the film's creation.",Bad porno pun,Cheese Cookie Monster,"[u'#low-budget', u'#porn', u'#porno', u'#pun', u'#slang']",4065,5666,"October 24, 2013"
Somone who has never eaten meat. A vegetarian from birth,Birth Vegan,Spinroyd,"[u'#meat eater', u'#carnivore', u'#vegetarian', u'#vegan', u'#omnivore.']",5332,7400,"October 23, 2013"
An excuse to blow off a date or appointment.,wash the cat,EastCoastBronco,"[u'#excuse', u'#brush off', u'#cop out', u'#ditch', u'#dodge']",7324,6889,"October 20, 2013"
Business entity where one can purchase vehicles or have vehicle maintenance and repairs performed at exorbitant prices. Remember to bend over and bring lots of lube. Variant of dealership.,stealership,ScottyG,"[u'#ride', u'#car', u'#whip', u'#vehicle', u'#dealership']",5511,6439,"October 05, 2005"
Watching tv and letting the knowledge come to you,Passive learning,Erni,"[u'#learning', u'#tv', u'#chillin', u'#smart', u'#knowledge']",6306,5764,"October 20, 2013"
"Maury, Jerry Springer, and any show that purposefully uses the extremely poor and/or desperate uneducated people to exploit them for the purpose of entertainment.",poverty porn,Nenona571,"[u'#poverty', u'#porn', u'#exploitation', u'#exploitative', u'#reality tv', u'#race', u'#ethnic', u'#ethnicity', u'#ebonics']",6314,6231,"October 18, 2013"
This is the point in your life where you pour the largest amount of bullshit you can muster into a paper. And then send it to colleges.,College essays,AKewlName,"[u'#college', u'#essay', u'#bullshit', u'#bs', u'#senior', u'#yolo']",5836,5940,"October 20, 2013"
"NOUNwhiplash of the nipple or nipples.  Extreme soreness of the nipple or nipples from seatbelt or clothing malfunction.",niplash,AnonMS,"[u'#whiplash', u'#nipple', u'#nipples', u'#accident', u'#seatbelt']",6036,6003,"June 18, 2007"
Methodically learning another person's routine in order to systematically avoid them.,antistalking,Clearly,"[u'#anti-stalking', u'#anti stalking', u'#stalking', u'#stalker', u'#antistalker']",8565,5516,"October 13, 2013"
"The inability to remember to plug a cell phone in to recharge occasionally, thus resulting in a battery-dead device.",charger-challenged,PoorDavid,"[u'#iphone', u'#cell phone', u'#charger', u'#battery', u'#re-charge', u'#power', u'#plug-in']",5368,5751,"October 13, 2013"
"A loud English person, typically american.",anglo-klaxon,jparadis,"[u'#loud', u'#english', u'#american', u'#klaxon', u'#obnoxious']",4696,5441,"October 13, 2013"
A guy you meet at a concert or music festival that you dance (or whatever) with for one song or even the whole time you're there. Usually you pick a guy you've never seen and will probably never see again. Sometimes relationships or friendships can form. Sometimes this is more like a one night (concert) stand situation.,concert boyfriend,Alifroyaknow,"[u'#boyfriend', u'#concert', u'#one night stand', u'#dance partner', u'#music festival', u'#love', u'#music', u'#friendship', u'#bffs', u'#relationships']",3646,4847,"October 13, 2013"
"When someone, usually trying to be gangster, is stressing how he does not like how something is run or what they didn't do in a situation.",ain't about that life,InnerSol,"[u'#against', u'#opposite', u'#contrary', u'#disgust', u'#ghetto']",4894,5102,"October 13, 2013"
"The anniversary of the day you started working at a particular business. Not normally celebrated (unless it's a big one like 10 years, 20 years, etc) but sometimes acknowledged by the person, co-workers or the boss.",Work birthday,Brickdictionary118,"[u'#birthday', u'#anniversary', u'#work', u'#employment', u'#boss', u'#co-worker']",3280,4727,"October 12, 2013"
Nerdspeak for Pabst Blue Ribbon. The chemical symbol for Phosphorus Bromide is PBr. PBR is the acronym for Pabst Blue Ribbon.,Phosphorus Bromide,IKnowPhysics,"[u'#pbr', u'#pabst blue ribbon', u'#pabst', u'#beer', u'#phosphorus bromide']",4431,4692,"October 12, 2013"
"One who cuddles with intent.Generally to escalate to penetration, but always to grind one's genitals against another person; regardless of their state of consciousness",active cuddler,pseudo-Jason,"[u'#aggressive cuddler', u'#active snuggler', u'#aggressive snuggler', u'#dry-hump enthusiast', u'#sneak attack']",4627,4595,"October 12, 2013"
The red marks you get on your elbows/forearms from resting your arms on your knees after having spent a long time on the toilet.,Concentration marks,Ruffa,"[u'#concentration', u'#pooping', u'#red marks', u'#toilet', u'#long time']",4206,4240,"October 12, 2013"
The ability to masturbate with equal efficiency using either hand.,fapidextrous,doc_hol,"[u'#fap', u'#jerk-off', u'#masturbate', u'#stroke', u'#penis']",7050,5350,"October 05, 2013"
"A term used by people making Vines, to do ANYTHING it takes for entertainment or comedic purposes.",do it for the vine,Vine Master,"[u'#vine', u'#funny', u'#real', u'#comedy', u'#dare']",6146,5930,"October 03, 2013"
Noun. An exposure of breast or genitalia by a good friend.,friend flash,froggster93,"[u'#flash', u'#friend', u'#boob', u'#penis', u'#vagina']",5848,5332,"October 03, 2013"
"""behind paywall, didn't read""Etymology: An adaptation of tl;dr.",bp;dr,Neurobonkers,"[u'#tl;dr', u'#paywall', u'#open access', u""#behind paywall didn't read"", u'#science']",4120,6360,"June 17, 2013"
A member of the media who will alter their story and reporting based on financial interests or other ties with usually partisan individuals or groups.,presstitute,Nicholas Sasson,"[u'#press', u'#media', u'#prostitute', u'#prostitution', u'#sellout', u'#whore']",4575,5064,"February 09, 2006"
you care too much about how you look. about how other people look. about what you say and do and what other people say and do. it's ocd with eyeshadow.,superficial,yo mama =),"[u'#bitchy', u'#stupid', u'#hairspray', u'#makeup', u'#barbie']",6208,5499,"May 26, 2006"
"When an individual has no affinity for any sex, only love for pomegranates.",pomosexuality,slicedkiwis,"[u'#pomegranate', u'#orange', u'#chinese', u'#fruit', u'#fuck', u'#pomegranite', u'#palm']",5922,5862,"September 27, 2013"
"Similar to bed time, but takes place about 5 minutes prior. It's that special time of night when, you guessed it, masterbation occurs.",beat time,LosrDogg,"[u'#bed time', u'#masturbate', u'#masturbation', u'#beat off', u'#beat', u'#time', u'#jerk', u'#wank', u'#jerk off', u'#flog']",5848,4866,"July 26, 2009"
"When a car gets stuck between two larger trucks/trailers/etc. on single (sometimes multi-laned) roads. Often happens in industrial areas, construction zones, and around dicks.",Car Sandwich,BLund,"[u'#bad luck', u'#road rage', u'#big rig', u'#driving', u'#open road']",3681,4774,"September 26, 2013"
"Noun. The microscopic particles of urine that bounce off of the urinal when urinating. Some or most of these microscopic droplets of urine end up on the urinator's pants, depending on the urinal.",backspray,TEBfan,"[u'#urinal', u'#urine', u'#peeing', u'#bathroom', u'#pants', u'#ew', u'#darn', u'#fail']",3773,4356,"June 09, 2009"
Wasting time and energy. Being generally unproductive even though you have a lot of very important stuff to do.,congressing,TBRADNC,"[u'#lazy', u'#ineffective', u'#wasteful', u'#congresing', u'#sleepy']",4482,3149,"June 28, 2013"
"Much like in the game of chess, a bathroom stalemate is when two people are in a public restroom and neither wants to be the first to go, so both sit silently in their respective stalls as they wait for the other to leave, or for some loud noise to disguise their business.",bathroom stalemate,TheRealIP,"[u'#secret pooper', u'#bathroom shy', u'#awkward moment', u'#poop', u'#public']",4063,3559,"September 26, 2013"
Something that as soon as it is done becomes decided upon to repeat the next year and years to come. Does not necessarily have to had been done previous years to be defined an instant tradition.,instant tradition,Radkomir,"[u'#tradition', u'#instant', u'#fuck', u'#you', u'#kyle']",3292,3536,"September 26, 2013"
Taking on the night life after taking care of business during the day.,going batman,Billy Poor,"[u'#batman', u'#partying', u'#night owl', u'#hard in the paint', u'#24/7', u'#bad ass.']",11840,10512,"September 24, 2013"
A golden shower where the victim and the offender are one and the same.,golden selfie,setophaga,"[u'#golden shower', u'#wet pants', u'#peed pants', u'#pissed', u'#peed']",3657,4183,"September 24, 2013"
"Someone (usually a friend) who accompanies you to an in-person meeting arranged via Craigslist to provide support in case of anything going wrong (ex: the Craigslist person being dangerous, creepy, or a scammer). The Craigslist Bodyguard can also simply provide moral support or transportation.",craigslist bodyguard,Broanna Newsom,"[u'#craigslist', u'#craigslist scam', u'#scam', u'#bodyguard', u'#catfish']",3508,3290,"September 24, 2013"
Someone who routinely does things that would be awesome if intentional.,accidental jedi,dr. jones PH Dizzle,"[u'#lucky mother f~er', u'#dumb luck', u'#deliberate screw up', u'#incidental jedi', u'#bullshit sandwiches']",6833,4913,"September 17, 2013"
The accepted standard that the tagged side of a towel is for designated nether-regions while the non-tagged side is reserved for the face and hair. This convention is used to avoid cross-contamination and is to be assumed as general practice. Practical in situations where one must use a borrowed or foreign towel.,ass-tag convention,Octoclod,"[u'#ass', u'#towel', u'#shower', u'#atc', u'#nether region']",4410,5229,"September 17, 2013"
Sending the wrong text to someone when engaging in multiple text based conversations (i.e. simultexting).,crosstext,smenjas,"[u'#mistake', u'#error', u'#confuse', u'#confusion', u'#mix up']",5452,4604,"September 17, 2013"
The 12 month rule is when parents have to stop saying how many months old their baby is after they reach 1 year old. Some parents say their baby is 34 months old. They make you do extra math when they could easily say 2 years and 10 months old.,12 month rule,ImmediateAce,"[u'#12', u'#month', u'#baby', u'#rule', u'#stop']",6288,5434,"September 17, 2013"
"Going as friends usually is an unfortunate scenario for one party and just ok for the other. It is when (usually) a guy asks a girl that he likes on a date. But for this poor soul the girl only sees him as a friend. She will accept but as to negate the guy having any thoughts of making any sort of romantic move she labels it as going as friends. The guy, even though in the long run it is bad for him, accepts as to just get to spend time with her. This occurs commonly when a party has been placed in the friendzone.This scenario could be reversed where the girl is the guy and the guy is the girl.",going as friends,#swagdaddy69,"[u'#just friends', u'#friendzone', u'#friendzoned', u'#fucked up', u'#oops']",4541,4311,"September 15, 2013"
Hyper caffeinated after drinking one too many cups of coffee in the morning,hopped up on the bean,jlmgemini,"[u'#caffed', u'#wired for sound', u'#hyper', u'#over-caffeinated', u'#hopped up on joe', u'#hyper-caffed', u'#jittery']",5194,5661,"September 11, 2013"
"1. People who follow the same path/live up to the same expectations as their parents2. People who fall into the expected stereotypes of a previous generation",generation xerox,:;:;:;:,"[u'#stereotype', u'#city boys', u'#next generation', u'#history repeats', u'#free thinking']",4724,4754,"September 10, 2013"
"The way rejection tends to be handled by Californians, who are sunny in disposition and less brusque than East Coast residents. Instead of bluntly saying ""no,"" Californians say no by avoiding the question, forgetting to respond to emails, and generally postponing the issue. The best way to give a California no is to do nothing at all, as opposed to saying it outright.This is especially popular in the entertainment industry. For example, Everybody Loves Raymond creator Phil Rosenthal is quoted as saying: ""To me, postponing a Hollywood lunch meeting is the new passing. They figure they'll postpone you until you go away. This way, they are not saying no. If that happens more than twice -- obviously emergencies come up -- you've got to get the hint.""",California no,ScottLG,"[u'#rejection', u'#passive aggression', u'#denial', u'#refusal', u'#evasion']",3896,3577,"August 09, 2013"
"Premature Articulation is the act of speaking/bragging too soon before all the facts are in, the game is over, etc.",Premature Articulation,RazorSharp,"[u'#blather', u'#diarrhea of the mouth', u'#blowhole', u'#braggadocio', u'#pompous']",4260,4247,"September 10, 2013"
Acronym for Fear of Sobering Up. Someone who has FOSU may begin their drinking with Bloody Mary's over breakfast just to ensure they're never sober.People suffering from FOSU often use boring people as a reason to get drunk in the first place.,FOSU,Springbok27,"[u'#fomo', u'#lpu', u'#drunk', u'#drinking', u'#breakfast drinking', u'#running out of alcohol']",2654,3401,"January 09, 2011"
This is a form of studying where one skims through a text and simply memorizes/learns everything in bold or italicized.,bold font method,etilauqa,"[u'#bold', u'#font', u'#bold font method', u'#gross anatomy', u'#test', u'#ochem']",2543,2727,"August 09, 2013"
"When a computer virus or other malware sends junk mail to recipients on your contact list, and a correspondence results between you and someone on your contact list with whom you have not communicated in a long time.",Malware Reunion,O-Town Daddy,"[u'#computer virus', u'#long-lost', u'#spam', u'#get-together', u'#old friend']",3220,3578,"September 04, 2013"
1) Noun; One who is addicted to watching others twerk or to dancing in the style of twerking with another.,Twerkaholic,Rugbyman949,"[u'#dirty dancing', u'#twerk', u'#grinding', u'#night club', u'#booty']",3948,5243,"November 01, 2012"
Also known as dirty dancing. When a woman slams her bottom on a mans pelvic area while dancing. The man can also lunge his pelvic area forward for a harder bang. This usually performed in a dance club along with upbeat music.,Twerking,Grindisha's Lover,"[u'#dirty dancing', u'#ass', u'#grinding', u'#dancing', u'#clubs']",8791,9299,"December 14, 2011"
A period in which an adult man disguises himself as a woman in order to secretly spend time with his children.Not to be confused with a Tootsie weekend in which a man assumes a female identity for a short period to determine whether or not he would enjoy being a woman.,Doubtfire holiday,Lil' Shammie,"[u'#mrs. doubtfire', u'#divorce', u'#cross dresser', u'#parenting', u'#robin williams']",4590,6798,"August 20, 2013"
"1. If A=B, and B=C, then A=C. Used in Geometry. 2. If Person A hooks up with Person B, and Person B hooks up with person C, person A has hooked up with person C. This property is hated by most high school/college age persons. 3. Definition 2, as a verb. To hook up with someone by the transitive property.",Transitive Property,Sable5CrossesPotentOr,"[u'#slut', u'#transitive property of kissing', u'#geometry', u'#sex', u'#kiss', u'#kissing', u'#hookup']",4210,5062,"December 14, 2008"
"The loss of feeling in the legs due to prolonged smartphone use whilst sitting down, in particular on the toilet.",Smartphone dead leg,Droobilicious,"[u'#smartphone', u'#dead', u'#leg', u'#candycrush', u'#toilet', u'#poo', u'#break']",6579,5916,"August 20, 2013"
Unrestricted power to fart at one's own discretion. Permission to fart freely.,Farte Blanche,Friedlad,"[u'#freedom', u'#autonomy', u'#discretion', u'#mercy', u'#kindness', u'#understanding', u'#pain', u'#suffering', u'#discomfort']",5876,6078,"July 11, 2013"
To change something into something better,Fanute,Pard0nMyTweet,"[u'#change', u'#improve', u'#morph', u'#better', u'#work']",4158,6471,"March 15, 2012"
